,manufacturer,car_name,year,no_of_owners,kms_driven,city,transmission,mileage,fuel_type,mode_of_sale,seats,engine,max_power,price,links
223,Mercedes-Benz,New,2012,First,"60,000",panaji,Automatic,19.71,Diesel,Individual,5,2143,201.15,23,https://www.cardekho.com/used-car-details/used-Mercedes-Benz-New-C-Class-C-250-CDI-Avantgarde-cars-Panaji_5BB7E18089D347EDEB66956440BC2994.htm
224,Mercedes-Benz,M-Class,2012,Second,"93,000",panaji,Automatic,0.0,Diesel,Individual,5,2987,165,20,https://www.cardekho.com/used-car-details/used-Mercedes-Benz-M-Class-ML-350-4Matic-cars-Panaji_935823D4640DBA82430E48F4F1DAFD5B.htm
225,Renault,Captur,2018,First,"12,300",thiruvananthapuram,Manual,20.37,Diesel,Individual,5,1461,108.45,9.5,https://www.cardekho.com/used-car-details/used-Renault-Captur-1.5-Diesel-Platine-cars-Thiruvananthapuram_531EC2A8675CBAEA9B5D5354CF3B627D.htm
226,Renault,Lodgy,2015,First,"70,000",thiruvananthapuram,Manual,19.98,Diesel,Individual,8,1461,108.5,5.5,https://www.cardekho.com/used-car-details/used-Renault-Lodgy-110PS-RxZ-8-Seater-cars-Thiruvananthapuram_50EC7EA796A292776748D7505921846F.htm
227,Toyota,Etios,2016,First,"70,000",thiruvananthapuram,Manual,23.59,Diesel,Individual,5,1364,67.05,7,https://www.cardekho.com/used-car-details/used-Toyota-Etios-1.4-VD-cars-Thiruvananthapuram_7AFFE46AE79336A78931B70C8A010424.htm
228,Hyundai,Verna,2010,First,"50,000",thiruvananthapuram,Manual,16.2,Diesel,Individual,5,1493,110,4,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-2010-2011-Transform-CRDi-VGT-SX-ABS-cars-Thiruvananthapuram_DD6756CF60AE3633C318E6FE4F6BD6E9.htm
229,Volkswagen,Ameo,2016,First,"40,000",thiruvananthapuram,Manual,17.0,Petrol,Individual,5,1198,74,6.25,https://www.cardekho.com/used-car-details/used-Volkswagen-Ameo-1.2-MPI-Highline-16-Alloy-cars-Thiruvananthapuram_4D350F4E44733234CDE45EC582A97572.htm
230,Maruti,800,1997,Second,"70,000",thiruvananthapuram,Manual,16.1,Petrol,Individual,4,796,37,"55,000",https://www.cardekho.com/used-car-details/used-Maruti-800-AC-cars-Thiruvananthapuram_D457B694A949D43B51B738E38A462E14.htm
231,Maruti,Swift,2008,First,"1,15,000",thiruvananthapuram,Manual,19.3,Diesel,Individual,5,1248,73.9,3.5,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2008-ZDi-cars-Thiruvananthapuram_5F46B16805B501FF54EBF826B3523371.htm
232,Maruti,Ciaz,2014,Second,"57,000",thiruvananthapuram,Manual,20.73,Petrol,Dealer,5,1373,91.1,5.45,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-2014-2017-ZXi-cars-Thiruvananthapuram_22E725B0932059F6294E3780542FF36B.htm
233,Maruti,Ciaz,2015,First,"50,000",thiruvananthapuram,Manual,26.21,Diesel,Individual,5,1248,88.5,5,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-2014-2017-VDi-Plus-cars-Thiruvananthapuram_7A034489D50B63EC8AF14443329FC3FE.htm
234,Renault,Triber,2019,First,"7,100",thiruvananthapuram,Manual,20.0,Petrol,Individual,7,999,72,7.1,https://www.cardekho.com/used-car-details/used-Renault-Triber-RXZ-BSIV-cars-Thiruvananthapuram_7D94E3F0DB4BF8E85747376C0A37128F.htm
235,Maruti,Eeco,2019,First,"30,000",thiruvananthapuram,Manual,15.37,Petrol,Individual,7,1196,73,3.7,https://www.cardekho.com/used-car-details/used-Maruti-Eeco-7-Seater-Standard-BSIV-cars-Thiruvananthapuram_97076C83775448DAEEBE85556AC7C316.htm
236,Maruti,Celerio,2017,First,"20,000",thiruvananthapuram,Automatic,23.1,Petrol,Individual,5,998,67.04,4.5,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-2014-2017-VXI-AT-cars-Thiruvananthapuram_40370F68938897749736ADD32A82827E.htm
